sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,versicolor
4.9,3,1.4,0.2,setosa
4.7,3.2,1.3,0.2,setosa
4.6,3.1,1.5,0.2,setosa
5,3.6,1.4,0.2,versicolor
7,5.4,3.9,1.7,virignca
4.6,3.4,1.4,0.3,setosa
3.4,3.1,1.5,0.2,setosa
4.4,2.9,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5.4,3.7,1.5,0.2,versicolor
4.8,3.4,1.6,0.2,setosa
4.8,3,1.4,0.1,setosa
4.3,3,1.1,0.1,setosa
5.8,4,1.2,0.2,versicolor
5.7,4.4,1.5,0.4,versicolor
5.4,3.9,1.3,0.4,versicolor
5.1,3.5,1.4,0.3,versicolor
5.7,3.6,1.7,0.3,versicolor
5.1,3.8,1.5,0.3,versicolor
5.4,3.4,1.7,0.2,versicolor
5.1,3.7,1.5,0.4,versicolor
4.6,3.6,1,0.2,setosa
5.1,3.3,1.7,0.5,versicolor
4,3.4,1.9,0.2,setosa
7.2,5.5,4,1.7,virignca
7.5,5.6,4.2,1.8,virignca
7.7,5.8,4.4,1.9,virignca
7.9,6,4.6,2,virignca
